gene	avg_clus3	TCGA-05-4389-01	TCGA-35-3615-01	TCGA-44-2655-01	TCGA-44-6778-01	TCGA-44-A4SS-01	TCGA-49-4488-01	TCGA-49-AAR0-01	TCGA-49-AARE-01	TCGA-4B-A93V-01	TCGA-55-6987-01	TCGA-55-7913-01	TCGA-55-8085-01	TCGA-55-A492-01	TCGA-55-A4DF-01	TCGA-73-7498-01	TCGA-78-7159-01	TCGA-97-8179-01	TCGA-97-A4M3-01	TCGA-NJ-A4YQ-01	TCGA-NJ-A55R-01	TCGA-38-4631-01	TCGA-44-3917-01	TCGA-44-4112-01	TCGA-44-7660-01	TCGA-44-7669-01	TCGA-44-7671-01	TCGA-49-6742-01	TCGA-49-AAR2-01	TCGA-50-5939-01	TCGA-53-A4EZ-01	TCGA-55-6972-01	TCGA-55-8510-01	TCGA-55-A48Y-01	TCGA-62-A46O-01	TCGA-62-A46P-01	TCGA-62-A470-01	TCGA-64-5781-01	TCGA-69-8253-01	TCGA-75-6206-01	TCGA-75-6211-01	TCGA-78-7153-01	TCGA-80-5611-01	TCGA-05-4384-01	TCGA-05-4418-01	TCGA-35-5375-01	TCGA-44-6779-01	TCGA-44-8119-01	TCGA-44-A47F-01	TCGA-49-4506-01	TCGA-49-4507-01	TCGA-49-6743-01	TCGA-49-AAR9-01	TCGA-50-5051-01	TCGA-50-5072-01	TCGA-50-5936-01	TCGA-55-6970-01	TCGA-73-4659-01	TCGA-73-A9RS-01	TCGA-78-7154-01	TCGA-78-7166-01	TCGA-86-8672-01	TCGA-86-8674-01	TCGA-J2-8194-01	TCGA-MP-A4TE-01	TCGA-05-4395-01	TCGA-53-7624-01	TCGA-55-8620-01	TCGA-78-7156-01	TCGA-78-7158-01	TCGA-78-7167-01
ASXL3	0.1068941184234321	0.0006840239533812589	0.000937237154600094	0.000527481315525475	0.0005110647721043842	0.0004493341927472676	0.7439066627651469	0.00048616674282275183	0.0016507595909174653	0.0006933609777069841	0.0005994674235193918	0.0008537622430310329	0.0004851704809684623	0.000649448017146424	0.0009503074245611506	0.0007228458000426101	0.0005375174280030668	0.0010084267598372393	0.7439545975427131	0.0011063817620948755	0.0005860553193896125	0.0013089091803856914	0.0006220017364534481	0.0005367667529344908	0.0008341096233856832	0.7444091205292789	0.7444783941417137	0.7438228872846621	0.744128950012233	0.0008559587433285584	0.7441915254256625	0.00047067653647849726	0.00046606159071121983	0.0003189162797341936	0.0010444574868834736	0.0006505575895959997	0.0004030859247887897	0.0009989310031241754	0.00034868053792218355	0.0003426900249850552	0.00039269060178614176	0.0004099828504204687	0.00030760818642712787	0.0007224530734544168	0.0007549287707178557	0.0006584249256907401	0.0005010716794555184	0.0005201392719054483	0.0003940138916310333	0.0005802033131359503	0.00039882695603571855	0.0009912117468080523	0.0009473107212278834	0.0005022909803809452	0.0005584502018892802	0.00037574617444616963	0.0003940138916310333	0.743837667959463	0.7445978977027344	0.000573152231000985	0.0010738926069667422	0.0008981227946114149	0.0004671254782893824	0.0003940138916310333	0.0003940138916310333	0.7442984347070781	0.001428631317367368	0.0011614047412064007	0.001155695634426512	0.0008401097691909343	0.0005260076070848625
SORCS3	0.024517385158425137	0.001988574637516212	0.0014655860071284294	0.0009824311401924342	0.0015125857524763587	0.0008907874686723072	0.0013014230955947453	0.0012356100678538428	0.005442573112744333	0.001542073476590067	0.0010667327319771529	0.0019740105562015297	0.0011777290064749154	0.0018628967049526672	0.002473662203133741	0.0015894483690495266	0.0014775210296498345	0.0022075089869241856	0.0011717721072031153	0.0028766149367361483	0.2299895418306605	0.23123010187339996	0.0012184908105682625	0.0011952726341162947	0.002208661076848837	0.002786975090707325	0.002290818074819779	0.001009858515890793	0.0016051209690221852	0.001793550254323701	0.002018045529023898	0.0009562541549272061	0.001318075089741059	0.000902976846987828	0.002743316205625013	0.00160412031653644	0.0009073347394891342	0.2312094850625631	0.002488807620745424	0.0009160274029468512	0.0009350237085295355	0.0009858264078423543	0.000931187114146008	0.0015795037181495332	0.0018307882383559707	0.0015847562771262973	0.001166008595344232	0.0016630492162262687	0.0009402264924053767	0.0013042032409095515	0.0008910851504791902	0.002261250036651172	0.0024929640501993987	0.0011703004053467342	0.0015769491473314474	0.0009296657791030262	0.0009402264924053767	0.2293505567352448	0.002817593763595174	0.0015913875252612226	0.002560277895989349	0.2302642008986749	0.001323570439600538	0.0009402264924053767	0.0009402264924053767	0.0018731135322554227	0.0033665740900532953	0.23060971521007384	0.0017771032343913812	0.2300607313815852	0.0009262938376568988
CDH12	0.020299930891770863	0.00253380472717565	0.0016596168896852199	0.0010652883098365698	0.2067757769696124	0.0010129355790538645	0.0014739710187609302	0.0014612691158735966	0.004690229052724083	0.001716021237586702	0.2063174524262007	0.0060206469916341395	0.001697620686769455	0.002229785450105529	0.0029328167923175484	0.0017613572229548489	0.20675172686402116	0.006311941110347214	0.0013695367954178466	0.005265019229847999	0.004037212738284909	0.0033886256344334564	0.0013435623758770365	0.005551590149674981	0.006339176536510405	0.2141396377659548	0.004521984089347143	0.0011405673251759932	0.005647544029659137	0.0020603413994113493	0.002266834325395627	0.0010716379479901886	0.0014704594839829105	0.005210793983912832	0.006979908173838162	0.0018059743075303735	0.0013709549155202937	0.009349501626056843	0.0010946754876624543	0.001061625238835307	0.0010459277821550977	0.0013787252297388034	0.0010753279071982326	0.002102398222082637	0.002120913569362173	0.001785808644815855	0.001362750565780434	0.001915378236991647	0.0010360074818189134	0.0014231421209004256	0.0010210733038353978	0.004571431916364937	0.004827906878458978	0.0013222557917235678	0.0017700895653473402	0.001023179904188854	0.0010360074818189134	0.0033019027789243857	0.0052208621129706785	0.0017754654585036278	0.0028976757653909275	0.006157357956843313	0.0014470683166930651	0.0010360074818189134	0.0010360074818189134	0.002159237798808723	0.0037931356047753006	0.2078929091144855	0.00200415273046057	0.20754001240624956	0.0010156188086548692
AFF2	0.005542394418025178	0.0027963684158303797	0.0022075542983489922	0.001287880274887733	0.002062741445996616	0.0013092181628366793	0.0017977820939783136	0.0017213601275222086	0.03360368075827224	0.0022378230450652787	0.0016305782043560676	0.002746239902162292	0.029729581421355768	0.03054468852562247	0.003478501935830497	0.0022061808054569293	0.0020709390051898524	0.003072641201025	0.001796134841175921	0.0320239357761061	0.002492233853293315	0.0042006941899268135	0.0018050047202531985	0.0017640434074014293	0.0030268623754743647	0.003875936077022385	0.0031853006842670435	0.0013744182504792308	0.0022409389157821173	0.002625495085587994	0.002843924648894884	0.0013042392826536936	0.001728802856605691	0.0013342473525751464	0.0038807061178799	0.0021829826613381986	0.001346785907551182	0.00420850732555125	0.001366059673098235	0.0013544976930336533	0.001315170753880494	0.0014992490996068569	0.0013079888747197024	0.0022191186046611306	0.030584754573736682	0.002164531213269536	0.029687052890509692	0.0021630558051957557	0.0013596154531654195	0.0017962207619981315	0.0013047395428230268	0.0030524285549678536	0.0034800111566820674	0.0017673085252034773	0.0021940959743126445	0.0013560494624802713	0.0013596154531654195	0.0016717554439113435	0.03197001743736766	0.002333570750529948	0.003508623172602278	0.002848245521010337	0.001782992892502445	0.0013596154531654195	0.0013596154531654195	0.002716370366457199	0.032885573387083686	0.0036436026122624947	0.002611114961599281	0.0028426699429496874	0.001357323847088058
AMER1	0.004674416580715013	0.0028479220935165037	0.0023995657444748422	0.0015073646164640248	0.0022599793689345505	0.0015200970278588185	0.027379199058233952	0.0019100417823687923	0.03125487161889355	0.0024200466729754453	0.0017812303220206829	0.002641319253571425	0.001973858161462216	0.0027924802060193122	0.003667975511923883	0.0024161681005406307	0.002105655435262103	0.0032878301460709104	0.02737453519761463	0.004054594843877698	0.0025641164386344477	0.004406060657612379	0.0019754590569137443	0.0018000951535447575	0.0032741254199582753	0.004025904848590768	0.0033780944351087267	0.0016018500853525945	0.002472608086547767	0.002849957783218725	0.002973466922678257	0.0015068646705872258	0.001956519058745278	0.0013623666743035519	0.029519058142349508	0.0022255120007841013	0.0015422793010159814	0.004293480686301387	0.0014825195808810055	0.0014693992582473813	0.0015169608396060786	0.0015438829392782024	0.0013152002083399587	0.002468286096036273	0.0027891578997215572	0.002427793962730682	0.0019300185018898848	0.0021838537134418077	0.0015043979200981216	0.001959818632472781	0.001496656554545874	0.0032320648962877513	0.0037768713035083814	0.02729984006358969	0.0022129712230908823	0.001509376385383587	0.0015043979200981216	0.0016543970602400102	0.004066701763887711	0.0023660036483843195	0.0036851917269954525	0.0030714267700589107	0.0019643220435882603	0.0015043979200981216	0.0015043979200981216	0.002910302270142068	0.030396652969468144	0.003816371895296385	0.0028335307836301303	0.0029852427322982628	0.0015041986622855547
ASXL2	0.004537461254661723	0.002640090592886138	0.0024695749809441176	0.0014853631256340088	0.0020547254225302893	0.0013590362953581992	0.0168620985426135	0.0017456475658619859	0.005819388797784447	0.00224938410624247	0.0018323694246657665	0.002843693522074766	0.0017636547118821907	0.0026236787232031345	0.0035309727673883406	0.0022479240748043646	0.002076311195694423	0.0033079786011287783	0.01687562732533529	0.00414585427685554	0.002420146847107055	0.004349585476236965	0.0018377199943456206	0.0017711865568112827	0.003105182685553286	0.01887342420751509	0.018357585358129584	0.016434403055366004	0.017326750100078912	0.0027245327967850013	0.017767669080732414	0.0013790589446200695	0.001768893316229285	0.0013192911368199716	0.004000233534639732	0.0022400634308108263	0.0013376526647243135	0.0041801524369286	0.001323020551932095	0.0013227272845029205	0.0013451023893673055	0.0013376892007528926	0.0013256514144056315	0.0022730733105018317	0.002651347679380415	0.0022530641295940845	0.0017655751728017316	0.0021827884440542566	0.0013396459184057796	0.0018242692464431687	0.0013451804241866642	0.003250486584841217	0.0035805214885820643	0.001789329904887641	0.0022201049246804837	0.0013493911788551908	0.0013396459184057796	0.016668844222323453	0.01912640495842259	0.00221184601279763	0.0035529736014497148	0.003102804424319351	0.0017867377486928719	0.0013396459184057796	0.0013396459184057796	0.01775466506274221	0.00494867646271776	0.0037205340710416562	0.002922392456976761	0.0027956477143750995	0.001405948410746976
LRP11	0.004078113419658329	0.001710442418055672	0.0013706038582101685	0.0008485491900375702	0.0013456062744987792	0.0008546608788126076	0.001148300332655265	0.0014476420521409455	0.0038093109150546477	0.001427436274182672	0.000998258638313525	0.0017884026080545738	0.001114340689870326	0.0015999063306258849	0.0026376980501721797	0.0013946149365559404	0.0012816924918600502	0.0020761078359323327	0.0011045529638032037	0.002455006643869737	0.02719273494106667	0.02810546421509005	0.0011328104661135873	0.0012576758349016322	0.0021321599661022943	0.0028533736433221987	0.002005321145917237	0.0008698130844416492	0.0015458747256867815	0.0017007916203308502	0.0017489170303944539	0.0008139505595670347	0.0011809317063605695	0.000981315164136861	0.002606033504544277	0.0014308024849072796	0.0008614236382599903	0.028168087342292782	0.001127611994677799	0.0008291629796454215	0.0009115676068101793	0.0008724126065097947	0.0008903211040442707	0.0014260638394394981	0.0016059015104677356	0.0014251326706758599	0.0010898316754465623	0.0017622118359768516	0.000846439605550776	0.0011051007481093428	0.000840110519953872	0.0019835761678896843	0.002249501115688821	0.0010676989562724325	0.0014986424065790765	0.0008488337727353576	0.000846439605550776	0.02636022822840943	0.002517080626417955	0.0014244333474627679	0.0025680797405086067	0.02728083196202772	0.0011271031133520547	0.000846439605550776	0.000846439605550776	0.0020425583907036247	0.002992701744628597	0.027606442871519282	0.0016927322008313515	0.027098360596310624	0.0008373321646431476
FAM131B	0.003633283785758661	0.002806519044047766	0.002160623573872097	0.0011979529883993432	0.0018320204065400566	0.0012045325312043298	0.0016918697956576668	0.0015552726867934785	0.005269456022542644	0.002192307708776484	0.0014203665133080436	0.002793561495711729	0.0016047229936234845	0.002389528217561193	0.0031279415695380287	0.00218193644508302	0.0018719130418988995	0.002949627746496723	0.0016509810070500868	0.003570820466244319	0.016719205027529202	0.018255787645377143	0.001777855865711816	0.0015423779168905387	0.0027845285957541826	0.003429686457060052	0.0030651568980290113	0.0012878335918943813	0.0020547778770235482	0.002423885175917176	0.002906768635393223	0.0012053454523939988	0.0015947674978440641	0.0011780903307655082	0.003576660094588801	0.0020034644298484072	0.0012112931417164409	0.018124290235423453	0.0014664983527631738	0.0013307040364096542	0.0012480203182740873	0.0016343606424030447	0.0012029787232471151	0.0020065727204154715	0.0025242857916974552	0.0020291439255910077	0.0016148665323742748	0.0020166625371792752	0.0013898127964846873	0.0017834210991888079	0.0012126967631434895	0.002765062507377337	0.003248414598688477	0.0017701533380587414	0.0020770452355077266	0.0013936640781620482	0.0013898127964846873	0.01586319576522205	0.0036850377677123437	0.001993845677275559	0.0033154990574445977	0.016966056058828685	0.001800900587633955	0.0013898127964846873	0.0013898127964846873	0.0025832441237699467	0.004430551944875093	0.017554995322864413	0.002422276111720041	0.016815242001939366	0.0014014890738899412
MLLT10	0.0035635526746791413	0.0026657465292880965	0.002250706370783427	0.0013510286888994876	0.0021065768492213297	0.0013435139581811193	0.010198784252359984	0.001756605888973909	0.005809172785508617	0.0022345522185663693	0.001679298883402135	0.0026639067611692728	0.0017764386921080382	0.00265929449006117	0.0035373958744522897	0.0022366567598568433	0.0021236468584576226	0.003113017923847093	0.010205750871150918	0.0039956560333560785	0.002468668179999809	0.004299512917813544	0.0018074787620723886	0.001773900516717239	0.00310147023144126	0.012272944702630158	0.011554024611872554	0.009759257976441777	0.01065104116417822	0.0026976237966817238	0.011093608750621748	0.0013601240553804859	0.0017722190409608695	0.0013264877937227619	0.004002566363994458	0.0022320604496796808	0.0013379543374402408	0.0042426361076851726	0.001327798881349818	0.0013365850043817356	0.001336556512911765	0.0013381110364674065	0.001330548555578374	0.002249466153821984	0.002675288842717973	0.002231413948798731	0.001778243775616468	0.0022016032435173715	0.0013380438877861932	0.0018047854189918765	0.001340829788622199	0.003123947872544064	0.0035699748897941234	0.00178971633816633	0.002223522653873114	0.001341582715702508	0.0013380438877861932	0.010026255056066928	0.012452088330999029	0.0022227191465740187	0.0035522130669685577	0.002936481379955794	0.001783659657798062	0.0013380438877861932	0.0013380438877861932	0.011078062864815505	0.004929110467948084	0.003759322449249133	0.002706007342976401	0.00284471778873843	0.0013445680424714207
BAP1	0.003494120600490975	0.0026597309685516828	0.0023169821728679287	0.001349264907956766	0.002098564940489476	0.0013429678399998794	0.009675555996087564	0.0017651052142629996	0.005796842713081404	0.0022345904808132692	0.0016689745377140664	0.002675376016114448	0.0017720435311602421	0.0026570525975518496	0.003547350644423967	0.0023039219136464467	0.0021071784013559367	0.0031276007318653647	0.009681377674043609	0.0039844842784089824	0.002480041110226025	0.0042992016001331896	0.0017941996161168648	0.0018481805421741407	0.003116816495143676	0.011739775649360244	0.011012668863561871	0.009223531984069465	0.010117290026516816	0.002685706062018128	0.01056094864777784	0.001347002513264962	0.00177811172808222	0.0013351380821417696	0.004024262881771638	0.002229558113317142	0.001340909771353611	0.0042588393472644545	0.0013316836870339713	0.00132967116421197	0.001339357728980537	0.0013394502261274235	0.0013320375160283972	0.0022371222891260077	0.002724985299379748	0.0022347864214417373	0.0017743381691647086	0.00220637893806498	0.0013410770872956225	0.0017917501726404308	0.001342729963460158	0.003117266054779141	0.0035757435579606093	0.0018010357145146524	0.002224690920969345	0.0013430158695476471	0.0013410770872956225	0.009491176970939187	0.011888511540826254	0.002217223170209524	0.0036197278019836853	0.002954179608359969	0.0017861058584988016	0.0013410770872956225	0.0013410770872956225	0.010611781495984265	0.004915962879215683	0.0037896253109061	0.0026997499115153038	0.002899883730277865	0.0013470131183477114
